Which of the following mental disorders is most prevalent in the world?,Bipolar disorder,Schizophrenia,Alcohol use disorders,Anxiety disorders,D
"As of 2015, agriculture made up about what percentage of total US GDP?",1%,3%,9%,20%,A
Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,China,Japan,Chile,India,C
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C
About how many people are infected by HIV/AIDS as of 2020?,3 million,14 million,42 million,124 million,C
Public spending on education in the world is about what percentage of global GDP as of 2017?,1%,2%,4%,8%,C
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in South Korea?",by 4 fold,by 8 fold,by 16 fold,by 32 fold,D
"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?","$150,000 ","$75,000 ","$35,000 ","$15,000 ",C
"As of 2013, share of people in the India who think political parties are corrupt is",26%,46%,66%,86%,D
What is the percentage of children aged 13-15 in the United States who reported being bullied at least once in the past couple of months as of 2015?,26%,46%,66%,86%,A
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B
"As of 2015, agriculture made up about what percentage of total Indian GDP?",8%,16%,32%,64%,B
"In 2016, what percentage of the population of South Sudan had access to electricity?",9%,29%,59%,79%,A
The percentage of children in Vietnam (age 8) who reported physical punishment by teachers in the past week in 2009 was about what?,10%,20%,40%,80%,B
