"On February 1, a man dispatched the following letter to a mechanic:""My car has not been running very well lately. I'll pay you $275 if you will change the oil, replace the oil filter, and adjust the carburetors by February 10. ""The mechanic received the man's letter on February 3. That same day, he telephoned an auto supply company and ordered the necessary materials to perform the repair work. Two days later, the mechanic met the man at a party and this conversation took place:The man: ""Disregard the letter I sent you last week. ""The mechanic: ""No way, man, I already ordered the materials on from the auto supply company. ""The man: ""Sorry, but I sold my car yesterday, so forget the repair work. ""If the mechanic initiates suit for breach of contract, which of the following is the man's strongest argument that no enforceable contract was formed between the parties?",The mechanic had not completed performance before the man revoked his offer.,The man's offer could only be accepted by a return promise.,"Because the man made his offer by letter, the mechanic could accept only in the same manner.","Although the mechanic was preparing to perform the repair work, he had not begun the requested acts of acceptance when the man revoked his offer.",D
"A defendant worked as a short-order cook at a restaurant. After work, the defendant went out drinking with one of the other cooks, and they were commiserating about their lack of money. They decided that the only way out of their rut was to rob a local bank. They then agreed to carry out a bank heist on the following Friday. In accordance with their plan, the cook on Monday purchased two ski masks to be used in the robbery. On Wednesday, after learning that the cook had bought the masks, the defendant got cold feet and told the cook he was renouncing his involvement in the robbery scheme. On Friday, the cook carried out the robbery without the defendant's participation. This jurisdiction requires an overt act for the crime of conspiracy. Is the defendant guilty of conspiracy?","Yes, because the cook and the defendant did enter into an agreement to commit the bank robbery.","Yes, because the purchase of the ski masks was a sufficient overt act in the furtherance of the crime.","Yes, because the defendant did not thwart the cook from committing the robbery.","No, because the defendant's withdrawal was effective.",B
"A purchaser orally agreed with the seller to buy seller's house for $100,000. The purchaser gave the seller a written offer and a post-dated check for 5% of the price. Before the seller signed the offer form or deposited the check, he received an offer of his full asking price of $120,000 from another party. The seller called the purchaser and called the deal off. The purchaser sued for specific performance on the basis that the oral understanding, along with the written offer and the check, constituted an enforceable agreement. Will the purchaser likely prevail?","Yes, because there was an oral agreement and the check for the down payment was evidence of consideration being paid.","No, because the offer was not accepted  prior to an acceptance the seller had the right to sell to anyone.","Yes, because the buyer and seller had a meeting of the minds evidenced by their oral understanding, the check and the written offer.","No, because specific performance does not apply in a residential real estate transaction.",B
"Police received reliable information that a homeowner had a stolen x-brand stereo in his possession. The detectives then submitted an affidavit to a neutral magistrate setting forth sufficient underlying circumstances for the issuance of a search warrant. Making a determination of probable cause, the magistrate issued a warrant for the x-brand stereo at the homeowner's address. The police arrived at the homeowner's dwelling, showed him the warrant, and came inside. In the living room, they noticed a y-brand stereo, which had the serial number removed. Upon further inspection, the police determined that the stereo had been stolen from a local electronics store during a recent burglary. Thereupon, the police placed the homeowner under arrest and instructed him to remain seated in the living room while they searched the rest of the home. One of the officers proceeded to the basement where she found the stolen x-brand stereo. She then decided to search the upstairs and came upon a stolen z-brand stereo in the homeowner's second-floor bedroom. The homeowner was subsequently prosecuted for receiving stolen property. At trial, the homeowner moves to prevent introduction of the stereos into evidence. His motion should be granted with respect to",the y-brand stereo.,the z-brand stereo.,the y-brand and the z-brand stereos.,none of the stereos.,C
"A businessman was the owner of an idyllic lake and wooded area. In 1980, the businessman conveyed the land to the state ""on the condition that"" it be used as recreational property only. Two years later, the state decided that they wanted a small industrial park attached to the corner of the land. The state went ahead and developed a small portion of the land as industrial space, making it part of a larger industrial park that was adjacent to the land. The businessman notified the state that he was the owner of the property because the state violated the conditions of the conveyance, and that he was taking possession of the property back. What was the interest that was created by the conveyance and can the businessman get the property back?","The interest created is a reverter, and the property instantly reverts back to the grantor upon the occurrence of the specified violation.","The interest created is a fee simple subject to a condition subsequent, and the original owner can get the property back only by taking affirmative steps to exercise his right of entry.","The interest is a fee simple subject to an executory limitation, and if the condition occurs the property reverts in fee simple to a pre-designated third party.","The interest created is an indefeasible estate, and the owner cannot do anything to enforce a condition that is against public policy and never enforceable in the first place.",B
"A retired cattle rancher was flying his private plane to visit his daughter and grandchildren. While carefully and skillfully operating his airplane, he suddenly realized that one of his engines was gone. He was then forced to make an emergency landing under the reasonable belief that it was necessary to do so for the protection of himself and his airplane. He landed in a farmer's orange grove and managed to steer the plane and land it between the trees in order to not cause damage to any of them. If the farmer brings suit against the rancher for trespass, the most likely result is that the farmer will","recover, because the property belonged to a private person.","recover, because the rancher had reasonable grounds to believe that the orange grove belonged to a private person.","not recover, because the rancher was privileged to enter the land of another under the circumstances.","not recover, because the rancher was carefully and skillfully operating his airplane when the engine went out.",C
"The operator of a hot dog stand sent the following purchase order to a bakery: ""We are expecting an increase in business over the upcoming holidays. Please ship immediately 36 dozen 10-inch hot dog buns at your current list price of $6 per dozen. ""The day after receiving the purchase order, the bakery shipped 24 dozen 10-inch hot dog buns and 12 dozen 8-inch hot dog buns. The owner of the bakery had instructed his staff to include a message that the bakery did not have enough 10-inch hot dog buns to fill the order, so they were including the 8-inch hot dog buns as an accommodation. However, the shipping department forgot to include the message with the shipment. Which of the following is the most accurate statement regarding the operator's legal rights following receipt of the hot dog buns?","The operator may either accept or reject all of the hot dog buns upon seasonable notice to the bakery, but it cannot accept only the 10-inch hot dog buns without the bakery's approval.","The operator may either accept or reject all of the hot dog buns, or accept any commercial unit and reject the rest, but must give the bakery seasonable notice of either total or partial rejection.","The operator may either accept or reject all of the hot dog buns, or accept the 10-inch buns and reject the 8-inch buns, but it cannot accept any combination of the hot dog buns.","The operator may either accept or reject all of the hot dog buns, or, provided the bakery gives seasonable notice that the shipment was made for accommodation only, the operator may accept any combination of hot dog buns and reject the rest.",B
"After a severe thunderstorm had struck the area, a homeowner discovered that her roof had suffered extensive damage. She telephoned a roofer to inquire about having the necessary repairs done to her roof. The roofer agreed to finish the work within 30 days, and the homeowner promised to pay$10,000. Which of the following statements is most accurate?",The performance of the roofer would be a constructive condition precedent to the performance by the homeowner.,The performance by the homeowner would be an implied condition subsequent to the performance by the roofer.,The performances of the homeowner and the roofer would be constructive concurrent conditions.,"The contract would be unenforceable, because it was oral.",A
"A defendant was charged with attempted rape of a victim. The crime allegedly occurred at a party at the defendant's home. During the party, the defendant invited the victim into his bedroom to show her his tattoos. When she entered his bedroom, the defendant ripped off her blouse and threw her onto his bed. He then jumped on the victim and tried to pull off her skirt. When the victim began to scream, some of the guests rushed into the bedroom and pulled the defendant off the victim. At trial, the defendant testified that he wanted to have sexual intercourse with the victim but he believed that she was consenting. The defendant further testified that he had consumed a pint of whiskey earlier in the evening and was intoxicated at the time the incident occurred. If the jury believes that the victim did not consent but also believes that the defendant, in his intoxicated state, honestly believed that she was consenting, the defendant should be found","guilty, because consent is determined by the objective manifestations of the victim and not the subjective beliefs of the defendant.","guilty, because voluntary intoxication is no defense.","not guilty, because he honestly believed that she was consenting.","not guilty, because his belief that she was consenting was reasonable.",C
"An environmentalist was very interested in environmental issues, particularly protection of wetland areas. He decided to dig out the lawn in his back yard and turn the space into a swampy marsh. Eventually, his back yard was filled with tall grasses, reeds, and other marsh plants. A wide variety of frogs, turtles, snakes, birds, and other animals inhabited the yard. The ground was usually covered by several inches of standing water. The environmentalist's neighbors were not pleased with the condition of the environmentalist's yard. They complained that it produced foul odors, and they claimed that the standing water was a breeding ground for mosquitoes and other insects. Several months after the environmentalist converted his yard into a marsh, a real estate investor purchased the house closest to the environmentalist's back yard swamp. The investor lived in a large city several hundred miles away, and he purchased the house next to the environmentalist's for investment purposes. The investor rented the house to a family under a long-term lease. The tenant family complained frequently to the investor about being annoyed by the environmentalist's yard. If the investor asserts a nuisance claim against the environmentalist, the environmentalist's best defense would be",that he had sound environmental reasons for maintaining the swampy condition of his yard.,that turning his yard into a swampy marsh did not violate any zoning ordinance.,"that the investor owns the property but has rented it out, so the investor does not have actual possession or the right to immediate possession of the land.","that when the investor purchased the house, he knew or should have known about the swampy condition of the environmentalist's property.",C
"A man kidnapped a victim in State A and transported the victim across the state border into State B. These actions violated the kidnapping laws of both states, which are identical. A jury convicted the man in a State A court, but the trial judge gave what prosecutors in State B deemed an unduly lenient sentence. The state prosecutor in State B then commenced a kidnapping case against the man for violating State B's kidnapping statute. The man's lawyer has filed a motion in State B to dismiss the charge based on the double jeopardy protection against a second prosecution for the man's single act of kidnapping. Should the court grant the motion to dismiss?","No, because the double jeopardy protection only prohibits a second prosecution following an acquittal for the same offense.","No, because the man's conduct violated the laws of two different states, and each has the right to enforce its laws. right to enforce its laws.","Yes, because the double jeopardy protection prohibits a second prosecution following a conviction for the same offense.","Yes, because the government is collaterally estopped under the double jeopardy protection from prosecuting a defendant a second time for the same conduct that led to an earlier conviction.",B
